abstract,paraphrase_abstract,Score (0-10),Not/Bad generated
"The research involves creating new partial cubes through the combination of existing ones using techniques like the Cartesian product and pasting, or expanding and contracting them. By doing so, we can determine the exact dimensions of the resulting partial cubes, both in terms of their isometry group and their position within a larger lattice.""",,,
"In this paper we present an algorithm for computing Hecke eigensystems of Hilbert-Siegel cusp forms over real quadratic fields of narrow class number one. We give some illustrative examples using the quadratic field $\\Q(\\sqrt{5})$. In those examples, we identify Hilbert-Siegel eigenforms that are possible lifts from Hilbert eigenforms.","This paper proposes a method for determining the Hecke eigenvalues and their corresponding eigenvectors (Hecke eigensystems) of Hilbert-Siegel cusp forms over real quadratic fields with narrow class number one. The authors provide demonstrations of the algorithm's application by utilizing the quadratic field Q(√5), in which they pinpoint specific Hilbert-Siegel eigenforms that can be lifted from Hilbert eigenforms.",8,
"Recently, Bruinier and Ono classified cusp forms $f(z) := \\sum_{n=0}^{\\infty} a_f(n)q ^n \\in S_{\\lambda+1/2}(\\Gamma_0(N),\\chi)\\cap \\mathbb{Z}[[q]]$ that does not satisfy a certain distribution property for modulo odd primes $p$. In this paper, using Rankin-Cohen Bracket, we extend this result to modular forms of half integral weight for primes $p \\geq 5$. As applications of our main theorem we derive distribution properties, for modulo primes $p\\geq5$, of traces of singular moduli and Hurwitz class number. We also study an analogue of Newman's conjecture for overpartitions.","Recently, Bruinier and Ono demonstrated that there exist cusp forms $f(z) = \sum_{n=0}^{\infty} a_f(n) q^n \in S_{\lambda+1/2}(\Gamma_0(N),\chi)\cap \mathbb{Z}[[q]]$ that do not possess a specific distribution property for odd prime moduli $p$. Building upon their work, we utilize the Rankin-Cohen Bracket to broaden this result by incorporating modular forms of half-integral weight for primes $p \geq 5$. Our primary theorem yields distribution properties for traces of singular moduli and Hurwitz class numbers modulo such primes $p \geq 5$. Additionally, we explore an analogue of Newman's conjecture pertaining to overpartitions.",9,
"Serre obtained the p-adic limit of the integral Fourier coefficient of modular forms on $SL_2(\\mathbb{Z})$ for $p=2,3,5,7$. In this paper, we extend the result of Serre to weakly holomorphic modular forms of half integral weight on $\\Gamma_{0}(4N)$ for $N=1,2,4$. A proof is based on linear relations among Fourier coefficients of modular forms of half integral weight. As applications we obtain congruences of Borcherds exponents, congruences of quotient of Eisentein series and congruences of values of $L$-functions at a certain point are also studied. Furthermore, the congruences of the Fourier coefficients of Siegel modular forms on Maass Space are obtained using Ikeda lifting.","Serre previously showed that the p-adic limit of the integral Fourier coefficient of modular forms on $SL_2(\mathbb{Z})$ exists for $p=2,3,5,7$. This paper extends Serre's result to weakly holomorphic modular forms of half integral weight on $\Gamma_{0}(4N)$ for $N=1,2,4$, using linear relations among Fourier coefficients of modular forms of half integral weight. The proof leads to various consequences, including congruences of Borcherds exponents, congruences of quotients of Eisenstein series, and congruences of values of $L$-functions at a specific point. Additionally, the congruences of the Fourier coefficients of Siegel modular forms on Maass space can be derived through Ikeda lifting.",10,
In this article we discuss a relation between the string topology and differential forms based on the theory of Chen's iterated integrals and the cyclic bar complex.,"The article explores a connection between string topology and differential forms, rooted in Chen's iterated integrals and the cyclic bar complex. This relationship is examined through the lens of the theory of Chen's iterated integrals, which provides a framework for understanding the interaction between string topology and differential forms. The cyclic bar complex, a tool from algebraic topology, also plays a crucial role in elucidating this connection. By delving into these concepts, the article sheds light on the intricate ties between string topology and differential forms.",5,
"The pure spinor formulation of the ten-dimensional superstring leads to manifestly supersymmetric loop amplitudes, expressed as integrals in pure spinor superspace. This paper explores different methods to evaluate these integrals and then uses them to calculate the kinematic factors of the one-loop and two-loop massless four-point amplitudes involving two and four Ramond states.",The ten-dimensional superstring theory's pure spinor formulation yields supersymmetric loop amplitude expressions that are straightforwardly integrated in a superspace with only spinor coordinates. This research investigates various techniques for evaluating such integrals and applies them to determine the kinematic coefficients of the one-loop and two-loop massless four-point functions involving two or four Ramond particles.,9,
"In this work, we evaluate the lifetimes of the doubly charmed baryons $\\Xi_{cc}^{+}$, $\\Xi_{cc}^{++}$ and $\\Omega_{cc}^{+}$. We carefully calculate the non-spectator contributions at the quark level where the Cabibbo-suppressed diagrams are also included. The hadronic matrix elements are evaluated in the simple non-relativistic harmonic oscillator model. Our numerical results are generally consistent with that obtained by other authors who used the diquark model. However, all the theoretical predictions on the lifetimes are one order larger than the upper limit set by the recent SELEX measurement. This discrepancy would be clarified by the future experiment, if more accurate experiment still confirms the value of the SELEX collaboration, there must be some unknown mechanism to be explored.","In this study, we investigate the lifetime of three doubly charmed baryons, specifically $\Xi_{cc}^{+}$, $\Xi_{cc}^{++}$, and $\Omega_{cc}^{+}$. We thoroughly examine the non-spectator contributions at the quark level, taking into account Cabibbo-suppressed diagrams. To estimate the hadronic matrix elements, we employ a simplified non-relativistic harmonic oscillator model. Our findings are largely consistent with previous studies that utilized the diquark model. However, our theoretical predictions for the lifetimes are significantly higher than the upper limit established by the latest SELEX measurement. This disparity can only be resolved through future experiments that provide more precise data. If the SELEX collaboration's value is confirmed, it will indicate the presence of an unexplored mechanism.",10,
"Results from spectroscopic observations of the Intermediate Polar (IP) EX Hya in quiescence during 1991 and 2001 are presented. Spin-modulated radial velocities consistent with an outer disc origin were detected for the first time in an IP. The spin pulsation was modulated with velocities near ~500-600 km/s. These velocities are consistent with those of material circulating at the outer edge of the accretion disc, suggesting corotation of the accretion curtain with material near the Roche lobe radius. Furthermore, spin Doppler tomograms have revealed evidence of the accretion curtain emission extending from velocities of ~500 km/s to ~1000 km/s. These findings have confirmed the theoretical model predictions of King & Wynn (1999), Belle et al. (2002) and Norton et al. (2004) for EX Hya, which predict large accretion curtains that extend to a distance close to the Roche lobe radius in this system. Evidence for overflow stream of material falling onto the magnetosphere was observed, confirming the result of Belle et al. (2005) that disc overflow in EX Hya is present during quiescence as well as outburst. It appears that the hbeta and hgamma spin radial velocities originated from the rotation of the funnel at the outer disc edge, while those of halpha were produced due to the flow of material along the field lines far from the white dwarf (narrow component) and close to the white dwarf (broad-base component), in agreement with the accretion curtain model.","Observations of the Intermediate Polar (IP) EX Hya during periods of quiescence in 1991 and 2001 have yielded new insights into the system's accretion dynamics. For the first time, spin-modulated radial velocities indicative of an outer disk origin were detected in an IP, with velocities ranging from approximately 500-600 km/s. This suggests that the accretion curtain is corotating with material at the outer edge of the disk, near the Roche lobe radius. Additionally, spin Doppler tomograms have revealed emissions from the accretion curtain spanning velocities of 500 km/s to 1000 km/s, supporting the idea of a large accretion curtain extending close to the Roche lobe radius. Further, evidence of an overflow stream of material falling onto the magnetosphere was found, consistent with previous studies. The origins of the spin radial velocities were found to be diverse, with hbeta and hgamma velocities originating from the rotation of the funnel at the outer disc edge, while halpha velocities were produced by material flowing along field lines both far from and close to the white dwarf. These results align with the accretion curtain model and provide further support for the theories proposed by King & Wynn (1999), Belle et al. (2002), and Norton et al. (2004).",7,
"We give a prescription for how to compute the Callias index, using as regulator an exponential function. We find agreement with old results in all odd dimensions. We show that the problem of computing the dimension of the moduli space of self-dual strings can be formulated as an index problem in even-dimensional (loop-)space. We think that the regulator used in this Letter can be applied to this index problem.","In this letter, we provide a formula for calculating the Callias index by utilizing an exponential function as a regulator. Our approach yields consistent results with previous studies in odd dimensions. Moreover, we demonstrate that the issue of determining the dimension of the moduli space of self-dual strings can be reformulated as an index problem in even-dimensional spaces, specifically in loop spaces. Notably, the regulatory method employed in this letter has potential applications in addressing this index problem.",10,
"The shape of the hadronic form factor f+(q2) in the decay D0 --> K- e+ nue has been measured in a model independent analysis and compared with theoretical calculations. We use 75 fb(-1) of data recorded by the BABAR detector at the PEPII electron-positron collider. The corresponding decay branching fraction, relative to the decay D0 --> K- pi+, has also been measured to be RD = BR(D0 --> K- e+ nue)/BR(D0 --> K- pi+) = 0.927 +/- 0.007 +/- 0.012. From these results, and using the present world average value for BR(D0 --> K- pi+), the normalization of the form factor at q2=0 is determined to be f+(0)=0.727 +/- 0.007 +/- 0.005 +/- 0.007 where the uncertainties are statistical, systematic, and from external inputs, respectively.","The hadronic form factor f+(q2) in the decay D0 → K- e+ nue has been studied using 75 fb(-1) of data collected by the BABAR detector at the PEPII electron-positron collider. The decay branching fraction, RD, has been measured relative to the decay D0 → K- pi+, and found to be 0.927 ± 0.007 ± 0.012. Using this result and the current global average value for BR(D0 → K- pi+), the normalization of the form factor at q2=0 can be determined as f+(0) = 0.727 ± 0.007 ± 0.005 ± 0.007, where the uncertainties represent statistical, systematic, and external input errors, respectively.",7,
Spatiotemporal pattern formation in a product-activated enzymic reaction at high enzyme concentrations is investigated. Stochastic simulations show that catalytic turnover cycles of individual enzymes can become coherent and that complex wave patterns of molecular synchronization can develop. The analysis based on the mean-field approximation indicates that the observed patterns result from the presence of Hopf and wave bifurcations in the considered system.,"In a study on spatiotemporal pattern formation in a product-activated enzymatic reaction, researchers used stochastic simulations to investigate how high enzyme concentrations affect the behavior of individual enzymes. They found that the catalytic cycles of these enzymes can become coordinated, leading to intricate patterns of molecular synchrony. By analyzing the data using a mean-field approximation, they determined that these patterns arise from two types of bifurcations - Hopf and wave bifurcations - within the system.",6,
"We present Lie group integrators for nonlinear stochastic differential equations with non-commutative vector fields whose solution evolves on a smooth finite dimensional manifold. Given a Lie group action that generates transport along the manifold, we pull back the stochastic flow on the manifold to the Lie group via the action, and subsequently pull back the flow to the corresponding Lie algebra via the exponential map. We construct an approximation to the stochastic flow in the Lie algebra via closed operations and then push back to the Lie group and then to the manifold, thus ensuring our approximation lies in the manifold. We call such schemes stochastic Munthe-Kaas methods after their deterministic counterparts. We also present stochastic Lie group integration schemes based on Castell--Gaines methods. These involve using an underlying ordinary differential integrator to approximate the flow generated by a truncated stochastic exponential Lie series. They become stochastic Lie group integrator schemes if we use Munthe-Kaas methods as the underlying ordinary differential integrator. Further, we show that some Castell--Gaines methods are uniformly more accurate than the corresponding stochastic Taylor schemes. Lastly we demonstrate our methods by simulating the dynamics of a free rigid body such as a satellite and an autonomous underwater vehicle both perturbed by two independent multiplicative stochastic noise processes.","We propose a method for solving nonlinear stochastic differential equations (SDEs) with non-commutative vector fields, which describe the evolution of a system on a smooth, finite-dimensional manifold. Our approach leverages the theory of Lie groups and their actions on manifolds. Specifically, given a Lie group action that generates transport along the manifold, we first pull back the SDE's flow on the manifold to the Lie group through this action. Then, we apply the exponential map to pull back the flow to the Lie algebra. By performing closed operations in the Lie algebra, we obtain an approximated version of the stochastic flow, which is then pushed forward to the Lie group and finally to the original manifold. This process ensures that our approximation stays within the manifold. We refer to these methods as stochastic Munthe-Kaas methods, named after their deterministic counterparts. Additionally, we explore stochastic Lie group integration schemes inspired by Castell--Gaines methods. These approaches rely on approximating the flow generated by a truncated stochastic exponential Lie series using an underlying ordinary differential integrator. When utilizing Munthe-Kaas methods as the underlying integrator, they become stochastic Lie group integrator schemes. Notably, certain Castell--Gaines methods exhibit uniform accuracy superiority compared to stochastic Taylor schemes. To illustrate our techniques, we simulate the behavior of a free rigid body (e.g., a satellite or an autonomous underwater vehicle) subject to two independent multiplicative stochastic noise processes.",9,
"The very nature of the solar chromosphere, its structuring and dynamics, remains far from being properly understood, in spite of intensive research. Here we point out the potential of chromospheric observations at millimeter wavelengths to resolve this long-standing problem. Computations carried out with a sophisticated dynamic model of the solar chromosphere due to Carlsson and Stein demonstrate that millimeter emission is extremely sensitive to dynamic processes in the chromosphere and the appropriate wavelengths to look for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests that high resolution observations at mm wavelengths, as will be provided by ALMA, will have the unique property of reacting to both the hot and the cool gas, and thus will have the potential of distinguishing between rival models of the solar atmosphere. Thus, initial results obtained from the observations of the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8 mHz with a tendency toward short-period oscillations in internetwork and longer periods in network regions. However higher spatial resolution, such as that provided by ALMA, is required for a clean separation between the features within the solar atmosphere and for an adequate comparison with the output of the comprehensive dynamic simulations.","Despite extensive research, the structure and behavior of the solar chromosphere remain poorly understood. However, observations at millimeter wavelengths offer a promising way to address this issue. Sophisticated dynamic models, such as those developed by Carlsson and Stein, suggest that these wavelengths are highly sensitive to dynamic processes in the chromosphere. Specifically, the most informative wavelengths lie between 0.8 and 5.0 millimeters. These observations can potentially distinguish between competing models of the solar atmosphere, thanks to their ability to detect both hot and cool gas. Preliminary data from the BIMA array, which has a resolution of 12 arcseconds, has already revealed notable oscillations with temperatures ranging from 50 to 150 Kelvin and frequencies spanning 1.5 to 8 megahertz, with shorter periods observed in internetwork areas and longer periods in network regions. Nonetheless, higher spatial resolution, such as what ALMA offers, is necessary to clearly separate features within the solar atmosphere and compare them effectively with simulation outputs.",6,
"The formation of quasi-2D spin-wave waveforms in longitudinally magnetized stripes of ferrimagnetic film was observed by using time- and space-resolved Brillouin light scattering technique. In the linear regime it was found that the confinement decreases the amplitude of dynamic magnetization near the lateral stripe edges. Thus, the so-called effective dipolar pinning of dynamic magnetization takes place at the edges. In the nonlinear regime a new stable spin wave packet propagating along a waveguide structure, for which both transversal instability and interaction with the side walls of the waveguide are important was observed. The experiments and a numerical simulation of the pulse evolution show that the shape of the formed waveforms and their behavior are strongly influenced by the confinement.","The formation of two-dimensional spin-wave waveforms in long, thin strips of ferromagnetic material has been studied using advanced techniques that allow us to observe changes in the magnetic field over time and space. When the magnetic field is applied lengthwise along the strip, we find that the strength of the dynamic magnetization weakens near the edges of the strip. This phenomenon is known as effective dipolar pinning"" and occurs because the magnetic moments at the edges are directed perpendicular to the strip's long axis.",6,
"When we increase the input power, we enter a nonlinear regime where a novel type of spin wave emerges. These waves travel along the length of the strip and are shaped by the narrow confines of the waveguide. We have observed that the waveform's stability and interactions with the surrounding walls play an essential role in determining its properties. Our experimental results agree well with computer simulations, providing valuable insights into how confinement affects the behavior of these exotic waves.""",,0,
"We present recent advances in understanding of the ground and excited states of the electron-phonon coupled systems obtained by novel methods of Diagrammatic Monte Carlo and Stochastic Optimization, which enable the approximation-free calculation of Matsubara Green function in imaginary times and perform unbiased analytic continuation to real frequencies. We present exact numeric results on the ground state properties, Lehmann spectral function and optical conductivity of different strongly correlated systems: Frohlich polaron, Rashba-Pekar exciton-polaron, pseudo Jahn-Teller polaron, exciton, and interacting with phonons hole in the t-J model.","Recent research has led to significant progress in comprehending the ground and excited states of electron-phonon coupled systems, thanks to innovative methodologies such as Diagrammatic Monte Carlo and Stochastic Optimization. These approaches enable the accurate calculation of Matsubara Green functions in imaginary time, followed by an unbiased analytic continuation to real frequencies. The accuracy of these methods allows for precise numerical calculations of various properties, including ground state characteristics, Lehmann spectral function, and optical conductivity, in diverse strongly correlated systems like Frohlich polaron, Rashba-Pekar exciton-polaron, pseudo Jahn-Teller polaron, exciton, and interacting with phonons hole in the t-J model.",8,
"We describe a peculiar fine structure acquired by the in-plane optical phonon at the Gamma-point in graphene when it is brought into resonance with one of the inter-Landau-level transitions in this material. The effect is most pronounced when this lattice mode (associated with the G-band in graphene Raman spectrum) is in resonance with inter-Landau-level transitions 0 -> (+,1) and (-,1) -> 0, at a magnetic field B_0 ~ 30 T. It can be used to measure the strength of the electron-phonon coupling directly, and its filling-factor dependence can be used experimentally to detect circularly polarized lattice modes.","In graphene, we observe an unusual phenomenon where the in-plane optical phonon at the Gamma-point exhibits a distinctive fine structure when it resonates with certain inter-Landau-level transitions. This occurs when the lattice mode associated with the G-band in the Raman spectrum is in resonance with transitions between energy levels 0 and (+,1), as well as (-,1) and 0, at a specific magnetic field strength of approximately 30 T. By studying this effect, researchers can directly measure the strength of the electron-phonon interaction. Additionally, the dependence of this phenomenon on filling factor allows for the experimental detection of circularly polarized lattice modes.",7,
We prove pfaffian and hafnian versions of Lieb's inequalities on determinants and permanents of positive semi-definite matrices. We use the hafnian inequality to improve the lower bound of R\\'ev\\'esz and Sarantopoulos on the norm of a product of linear functionals on a real Euclidean space (this subject is sometimes called the `real linear polarization constant' problem).,"Our research demonstrates that Lieb's inequalities on determinants and permanents of positive semi-definite matrices hold for both Pfaffian and Hafnian cases. Utilizing the Hafnian inequality, we enhance the lower bound of R\*ev\*esz and Sarantopoulos's result regarding the norm of a product of linear functionals in a real Euclidean space, an area often referred to as the real linear polarization constant"" problem.""",6,
